Label,Wisconsin!!Total!!Estimate,Wisconsin!!Total!!Margin of Error,Wisconsin!!Percent!!Estimate,Wisconsin!!Percent!!Margin of Error,Wisconsin!!Male!!Estimate,Wisconsin!!Male!!Margin of Error,Wisconsin!!Percent Male!!Estimate,Wisconsin!!Percent Male!!Margin of Error,Wisconsin!!Female!!Estimate,Wisconsin!!Female!!Margin of Error,Wisconsin!!Percent Female!!Estimate,Wisconsin!!Percent Female!!Margin of Error
        21 years and over,"4,317,545","±5,811",74.20%,±0.1,"2,124,480","±4,009",73.40%,±0.1,"2,193,065","±4,475",74.90%,±0.1
        60 years and over,"1,428,853","±6,844",24.50%,±0.1,"667,947","±4,474",23.10%,±0.2,"760,906","±4,173",26.00%,±0.1
        62 years and over,"1,263,529","±5,982",21.70%,±0.1,"586,306","±4,153",20.30%,±0.1,"677,223","±3,918",23.10%,±0.1
        65 years and over,"1,019,896","±2,498",17.50%,±0.1,"465,462","±1,401",16.10%,±0.1,"554,434","±1,698",18.90%,±0.1
        75 years and over,"421,945","±1,723",7.20%,±0.1,"177,225",±975,6.10%,±0.1,"244,720","±1,265",8.40%,±0.1
    SUMMARY INDICATORS,,,,,,,,,,,,
        Median age (years),39.9,±0.2,(X),(X),38.7,±0.2,(X),(X),41,±0.2,(X),(X)
        Sex ratio (males per 100 females),98.7,±0.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Age dependency ratio,64.5,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Old-age dependency ratio,28.8,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Child dependency ratio,35.7,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    PERCENT ALLOCATED,,,,,,,,,,,,
        Sex,(X),(X),0.10%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Age,(X),(X),0.80%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
