Day of Epi Dt,Measure Names,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Measure Values,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
23-Aug-20,Probable cases,681,681,,8/24/2020,8/10/2020,confirmed plus probable cases,Wisconsin,9616,18,516,18,534
22-Aug-20,Probable cases,677,677,,8/23/2020,8/9/2020,confirmed plus probable cases,Wisconsin,9616,20,486,20,506
21-Aug-20,Probable cases,682,682,,8/22/2020,8/8/2020,confirmed plus probable cases,Wisconsin,9616,36,641,36,677
20-Aug-20,Probable cases,678,678,,8/21/2020,8/7/2020,confirmed plus probable cases,Wisconsin,9616,33,609,33,642
19-Aug-20,Probable cases,682,682,,8/20/2020,8/6/2020,confirmed plus probable cases,Wisconsin,9616,38,726,38,764
18-Aug-20,Probable cases,695,695,,8/19/2020,8/5/2020,confirmed plus probable cases,Wisconsin,9616,29,840,29,869
17-Aug-20,Probable cases,696,696,,8/18/2020,8/4/2020,confirmed plus probable cases,Wisconsin,9616,37,741,37,778
16-Aug-20,Probable cases,707,707,,8/17/2020,8/3/2020,confirmed plus probable cases,Wisconsin,9616,16,489,16,505
15-Aug-20,Probable cases,716,716,,8/16/2020,8/2/2020,confirmed plus probable cases,Wisconsin,9616,22,521,22,543
14-Aug-20,Probable cases,718,718,,8/15/2020,8/1/2020,confirmed plus probable cases,Wisconsin,9616,22,623,22,645
13-Aug-20,Probable cases,736,736,,8/14/2020,7/31/2020,confirmed plus probable cases,Wisconsin,9616,35,637,35,672
12-Aug-20,Probable cases,751,751,,8/13/2020,7/30/2020,confirmed plus probable cases,Wisconsin,9616,32,822,32,854
11-Aug-20,Probable cases,763,763,,8/12/2020,7/29/2020,confirmed plus probable cases,Wisconsin,9616,22,856,22,878
10-Aug-20,Probable cases,771,771,,8/11/2020,7/28/2020,confirmed plus probable cases,Wisconsin,9616,39,816,39,855
9-Aug-20,Probable cases,793,793,,8/10/2020,7/27/2020,confirmed plus probable cases,Wisconsin,9616,16,551,16,567
8-Aug-20,Probable cases,788,788,,8/9/2020,7/26/2020,confirmed plus probable cases,Wisconsin,9616,17,543,17,560
7-Aug-20,Probable cases,807,807,,8/8/2020,7/25/2020,confirmed plus probable cases,Wisconsin,9616,27,739,27,766
6-Aug-20,Probable cases,806,806,,8/7/2020,7/24/2020,confirmed plus probable cases,Wisconsin,9616,32,746,32,778
5-Aug-20,Probable cases,809,809,,8/6/2020,7/23/2020,confirmed plus probable cases,Wisconsin,9616,42,896,42,938
4-Aug-20,Probable cases,801,801,,8/5/2020,7/22/2020,confirmed plus probable cases,Wisconsin,9616,41,898,41,939
3-Aug-20,Probable cases,805,805,,8/4/2020,7/21/2020,confirmed plus probable cases,Wisconsin,9616,30,975,30,1005
2-Aug-20,Probable cases,818,818,,8/3/2020,7/20/2020,confirmed plus probable cases,Wisconsin,9616,22,509,22,531
1-Aug-20,Probable cases,823,823,,8/2/2020,7/19/2020,confirmed plus probable cases,Wisconsin,9616,22,670,22,692
31-Jul-20,Probable cases,813,813,,8/1/2020,7/18/2020,confirmed plus probable cases,Wisconsin,9616,31,733,31,764
30-Jul-20,Probable cases,820,820,,7/31/2020,7/17/2020,confirmed plus probable cases,Wisconsin,9616,31,769,31,800
29-Jul-20,Probable cases,821,821,,7/30/2020,7/16/2020,confirmed plus probable cases,Wisconsin,9616,29,849,29,878
28-Jul-20,Probable cases,842,842,,7/29/2020,7/15/2020,confirmed plus probable cases,Wisconsin,9616,41,927,41,968
27-Jul-20,Probable cases,848,848,,7/28/2020,7/14/2020,confirmed plus probable cases,Wisconsin,9616,34,1064,34,1098
26-Jul-20,Probable cases,850,850,,7/27/2020,7/13/2020,confirmed plus probable cases,Wisconsin,9616,20,546,20,566
25-Jul-20,Probable cases,855,855,,7/26/2020,7/12/2020,confirmed plus probable cases,Wisconsin,9616,23,597,23,620
24-Jul-20,Probable cases,862,862,,7/25/2020,7/11/2020,confirmed plus probable cases,Wisconsin,9616,46,765,46,811
23-Jul-20,Probable cases,874,874,,7/24/2020,7/10/2020,confirmed plus probable cases,Wisconsin,9616,22,789,22,811
22-Jul-20,Probable cases,896,896,,7/23/2020,7/9/2020,confirmed plus probable cases,Wisconsin,9616,47,975,47,1022
21-Jul-20,Probable cases,899,899,,7/22/2020,7/8/2020,confirmed plus probable cases,Wisconsin,9616,42,966,42,1008
20-Jul-20,Probable cases,908,908,,7/21/2020,7/7/2020,confirmed plus probable cases,Wisconsin,9616,56,1060,56,1116
19-Jul-20,Probable cases,909,909,,7/20/2020,7/6/2020,confirmed plus probable cases,Wisconsin,9616,18,582,18,600
18-Jul-20,Probable cases,915,915,,7/19/2020,7/5/2020,confirmed plus probable cases,Wisconsin,9616,19,651,19,670
17-Jul-20,Probable cases,910,910,,7/18/2020,7/4/2020,confirmed plus probable cases,Wisconsin,9616,60,832,60,892
16-Jul-20,Probable cases,907,907,,7/17/2020,7/3/2020,confirmed plus probable cases,Wisconsin,9616,33,932,33,965
15-Jul-20,Probable cases,901,901,,7/16/2020,7/2/2020,confirmed plus probable cases,Wisconsin,9616,41,1006,41,1047
14-Jul-20,Probable cases,893,893,,7/15/2020,7/1/2020,confirmed plus probable cases,Wisconsin,9616,40,1026,40,1066
13-Jul-20,Probable cases,887,887,,7/14/2020,6/30/2020,confirmed plus probable cases,Wisconsin,9616,40,1086,40,1126
12-Jul-20,Probable cases,875,875,,7/13/2020,6/29/2020,confirmed plus probable cases,Wisconsin,9616,26,619,26,645
11-Jul-20,Probable cases,871,871,,7/12/2020,6/28/2020,confirmed plus probable cases,Wisconsin,9616,16,619,16,635
10-Jul-20,Probable cases,846,846,,7/11/2020,6/27/2020,confirmed plus probable cases,Wisconsin,9616,50,817,50,867
9-Jul-20,Probable cases,814,814,,7/10/2020,6/26/2020,confirmed plus probable cases,Wisconsin,9616,36,886,36,922
8-Jul-20,Probable cases,784,784,,7/9/2020,6/25/2020,confirmed plus probable cases,Wisconsin,9616,35,959,35,994
7-Jul-20,Probable cases,765,765,,7/8/2020,6/24/2020,confirmed plus probable cases,Wisconsin,9616,31,992,31,1023
6-Jul-20,Probable cases,736,736,,7/7/2020,6/23/2020,confirmed plus probable cases,Wisconsin,9616,41,1001,41,1042
5-Jul-20,Probable cases,711,711,,7/6/2020,6/22/2020,confirmed plus probable cases,Wisconsin,9616,18,602,18,620
4-Jul-20,Probable cases,686,686,,7/5/2020,6/21/2020,confirmed plus probable cases,Wisconsin,9616,20,439,20,459
3-Jul-20,Probable cases,688,688,,7/4/2020,6/20/2020,confirmed plus probable cases,Wisconsin,9616,27,613,27,640
2-Jul-20,Probable cases,684,684,,7/3/2020,6/19/2020,confirmed plus probable cases,Wisconsin,9616,38,674,38,712
1-Jul-20,Probable cases,674,674,,7/2/2020,6/18/2020,confirmed plus probable cases,Wisconsin,9616,53,812,53,865
30-Jun-20,Probable cases,643,643,,7/1/2020,6/17/2020,confirmed plus probable cases,Wisconsin,9616,37,779,37,816
29-Jun-20,Probable cases,622,622,,6/30/2020,6/16/2020,confirmed plus probable cases,Wisconsin,9616,35,830,35,865
28-Jun-20,Probable cases,593,593,,6/29/2020,6/15/2020,confirmed plus probable cases,Wisconsin,9616,12,436,12,448
27-Jun-20,Probable cases,580,580,,6/28/2020,6/14/2020,confirmed plus probable cases,Wisconsin,9616,13,461,13,474
26-Jun-20,Probable cases,561,561,,6/27/2020,6/13/2020,confirmed plus probable cases,Wisconsin,9616,35,579,35,614
25-Jun-20,Probable cases,534,534,,6/26/2020,6/12/2020,confirmed plus probable cases,Wisconsin,9616,47,594,47,641
24-Jun-20,Probable cases,509,509,,6/25/2020,6/11/2020,confirmed plus probable cases,Wisconsin,9616,34,611,34,645
23-Jun-20,Probable cases,482,482,,6/24/2020,6/10/2020,confirmed plus probable cases,Wisconsin,9616,38,629,38,667
22-Jun-20,Probable cases,447,447,,6/23/2020,6/9/2020,confirmed plus probable cases,Wisconsin,9616,34,632,34,666
21-Jun-20,Probable cases,430,430,,6/22/2020,6/8/2020,confirmed plus probable cases,Wisconsin,9616,15,339,15,354
20-Jun-20,Probable cases,411,411,,6/21/2020,6/7/2020,confirmed plus probable cases,Wisconsin,9616,23,318,23,341
19-Jun-20,Probable cases,396,396,,6/20/2020,6/6/2020,confirmed plus probable cases,Wisconsin,9616,38,390,38,428
18-Jun-20,Probable cases,381,381,,6/19/2020,6/5/2020,confirmed plus probable cases,Wisconsin,9616,41,426,41,467
17-Jun-20,Probable cases,359,359,,6/18/2020,6/4/2020,confirmed plus probable cases,Wisconsin,9616,34,421,34,455
16-Jun-20,Probable cases,348,348,,6/17/2020,6/3/2020,confirmed plus probable cases,Wisconsin,9616,33,390,33,423
15-Jun-20,Probable cases,346,346,,6/16/2020,6/2/2020,confirmed plus probable cases,Wisconsin,9616,39,505,39,544
14-Jun-20,Probable cases,327,327,,6/15/2020,6/1/2020,confirmed plus probable cases,Wisconsin,9616,18,206,18,224
13-Jun-20,Probable cases,325,325,,6/14/2020,5/31/2020,confirmed plus probable cases,Wisconsin,9616,17,217,17,234
12-Jun-20,Probable cases,331,331,,6/13/2020,5/30/2020,confirmed plus probable cases,Wisconsin,9616,27,293,27,320
11-Jun-20,Probable cases,341,341,,6/12/2020,5/29/2020,confirmed plus probable cases,Wisconsin,9616,42,276,42,318
10-Jun-20,Probable cases,350,350,,6/11/2020,5/28/2020,confirmed plus probable cases,Wisconsin,9616,41,334,41,375
9-Jun-20,Probable cases,355,355,,6/10/2020,5/27/2020,confirmed plus probable cases,Wisconsin,9616,40,372,40,412
8-Jun-20,Probable cases,353,353,,6/9/2020,5/26/2020,confirmed plus probable cases,Wisconsin,9616,21,387,21,408
