,,,,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc,Week of Episode Date Trunc
35-44,rate,16-Apr-21,Distinct count of Incident ID,97,185,286,382,440,422,563,614,435,338,288,412,503,655,829,849,815,797,746,705,669,689,670,957,"1,628","2,399","2,703","3,206","3,485","4,238","5,670","7,280","6,716","4,733","3,544","3,897","2,931","2,434","1,939","1,684","2,381","1,787","1,475","1,193",851,622,588,529,515,470,564,647,716,749,262
35-44,rate,16-Apr-21,Measure toggle,14,26,41,55,63,60,80,88,62,48,41,59,72,94,118,121,116,114,107,101,96,98,96,137,233,343,386,458,498,605,810,"1,040",959,676,506,557,419,348,277,241,340,255,211,170,122,89,84,76,74,67,81,92,102,107,37
35-44,rate,16-Apr-21,case rate by age for 100K ,14,26,41,55,63,60,80,88,62,48,41,59,72,94,118,121,116,114,107,101,96,98,96,137,233,343,386,458,498,605,810,"1,040",959,676,506,557,419,348,277,241,340,255,211,170,122,89,84,76,74,67,81,92,102,107,37
45-54,rate,16-Apr-21,Distinct count of Incident ID,101,184,276,345,355,314,503,477,365,297,304,356,452,608,753,892,804,800,800,755,640,743,780,"1,071","1,765","2,522","2,841","3,361","3,615","4,505","5,580","7,180","6,496","4,626","3,464","3,741","2,837","2,291","1,851","1,492","2,302","1,690","1,428","1,117",807,624,577,518,476,462,564,627,705,641,274
45-54,rate,16-Apr-21,Measure toggle,14,25,38,47,48,43,69,65,50,40,41,49,62,83,103,122,110,109,109,103,87,101,106,146,241,344,387,458,493,614,761,979,886,631,472,510,387,312,252,203,314,230,195,152,110,85,79,71,65,63,77,85,96,87,37
45-54,rate,16-Apr-21,case rate by age for 100K ,14,25,38,47,48,43,69,65,50,40,41,49,62,83,103,122,110,109,109,103,87,101,106,146,241,344,387,458,493,614,761,979,886,631,472,510,387,312,252,203,314,230,195,152,110,85,79,71,65,63,77,85,96,87,37
55-64,rate,16-Apr-21,Distinct count of Incident ID,119,203,215,291,314,299,409,401,308,259,225,270,342,433,598,719,695,743,646,646,617,644,750,963,"1,555","2,431","2,916","3,439","3,714","4,339","5,403","6,699","6,276","4,358","3,467","3,573","2,817","2,373","1,833","1,399","2,311","1,676","1,426","1,119",832,573,550,521,462,432,484,547,656,604,230
55-64,rate,16-Apr-21,Measure toggle,15,25,26,36,38,37,50,49,38,32,28,33,42,53,73,88,85,91,79,79,76,79,92,118,190,298,357,421,455,531,662,821,769,534,425,438,345,291,225,171,283,205,175,137,102,70,67,64,57,53,59,67,80,74,28
55-64,rate,16-Apr-21,case rate by age for 100K ,15,25,26,36,38,37,50,49,38,32,28,33,42,53,73,88,85,91,79,79,76,79,92,118,190,298,357,421,455,531,662,821,769,534,425,438,345,291,225,171,283,205,175,137,102,70,67,64,57,53,59,67,80,74,28
65+,rate,16-Apr-21,Distinct count of Incident ID,208,233,274,224,325,322,498,448,305,268,203,244,295,351,525,555,719,665,679,596,538,635,652,981,"1,463","2,204","2,718","3,373","3,581","4,317","5,200","6,790","6,292","4,754","3,847","3,699","3,097","2,600","2,003","1,583","2,328","1,779","1,479","1,171",820,553,429,402,342,329,294,287,329,331,157
65+,rate,16-Apr-21,Measure toggle,21,24,28,23,33,33,51,46,31,27,21,25,30,36,54,57,73,68,69,61,55,65,66,100,149,225,277,344,365,440,530,693,642,485,392,377,316,265,204,161,237,181,151,119,84,56,44,41,35,34,30,29,34,34,16
65+,rate,16-Apr-21,case rate by age for 100K ,21,24,28,23,33,33,51,46,31,27,21,25,30,36,54,57,73,68,69,61,55,65,66,100,149,225,277,344,365,440,530,693,642,485,392,377,316,265,204,161,237,181,151,119,84,56,44,41,35,34,30,29,34,34,16
