Day of Epi Dt,7 Day Average (conf+prob) (TT),7 Day Average (conf+prob),7 Day Average (conf+prob),Prelim end date,Prelim start date,7 Day Average (TT Text),County Parameter Cum Curve,Max. Window Max Daily Cases,Cases dynamic1,Cases dynamic2,Confirmed Cases By Epi Dt,Probable By Epi Dt,Stacked Confirm + Probable cases
13-Feb-20,0,0,,2/14/2020,1/31/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
13-Feb-20,0,0,0,2/14/2020,1/31/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
14-Feb-20,0,0,,2/15/2020,2/1/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
14-Feb-20,0,0,,2/15/2020,2/1/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
14-Feb-20,0,0,0,2/15/2020,2/1/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
15-Feb-20,0,0,,2/16/2020,2/2/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
15-Feb-20,0,0,,2/16/2020,2/2/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
15-Feb-20,0,0,0,2/16/2020,2/2/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
16-Feb-20,0,0,,2/17/2020,2/3/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
16-Feb-20,0,0,,2/17/2020,2/3/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
16-Feb-20,0,0,0,2/17/2020,2/3/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
17-Feb-20,0,0,,2/18/2020,2/4/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
17-Feb-20,0,0,,2/18/2020,2/4/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
17-Feb-20,0,0,0,2/18/2020,2/4/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
18-Feb-20,0,0,,2/19/2020,2/5/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
18-Feb-20,0,0,,2/19/2020,2/5/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
18-Feb-20,0,0,0,2/19/2020,2/5/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
19-Feb-20,0,0,,2/20/2020,2/6/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
19-Feb-20,0,0,,2/20/2020,2/6/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
19-Feb-20,0,0,0,2/20/2020,2/6/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
20-Feb-20,0,0,,2/21/2020,2/7/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
20-Feb-20,0,0,,2/21/2020,2/7/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
20-Feb-20,0,0,0,2/21/2020,2/7/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
21-Feb-20,0,0,,2/22/2020,2/8/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,1,0,1
21-Feb-20,0,0,,2/22/2020,2/8/2020,confirmed plus probable cases,Wisconsin,"9,568",1,,1,0,1
21-Feb-20,0,0,0,2/22/2020,2/8/2020,confirmed plus probable cases,Wisconsin,"9,568",,,1,0,1
22-Feb-20,0,0,,2/23/2020,2/9/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
22-Feb-20,0,0,,2/23/2020,2/9/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
22-Feb-20,0,0,0,2/23/2020,2/9/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
23-Feb-20,0,0,,2/24/2020,2/10/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,0,0,0
23-Feb-20,0,0,,2/24/2020,2/10/2020,confirmed plus probable cases,Wisconsin,"9,568",0,,0,0,0
23-Feb-20,0,0,0,2/24/2020,2/10/2020,confirmed plus probable cases,Wisconsin,"9,568",,,0,0,0
24-Feb-20,0,0,,2/25/2020,2/11/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,1,0,1
24-Feb-20,0,0,,2/25/2020,2/11/2020,confirmed plus probable cases,Wisconsin,"9,568",1,,1,0,1
24-Feb-20,0,0,0,2/25/2020,2/11/2020,confirmed plus probable cases,Wisconsin,"9,568",,,1,0,1
25-Feb-20,0,0,,2/26/2020,2/12/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,1,0,1
25-Feb-20,0,0,,2/26/2020,2/12/2020,confirmed plus probable cases,Wisconsin,"9,568",1,,1,0,1
25-Feb-20,0,0,0,2/26/2020,2/12/2020,confirmed plus probable cases,Wisconsin,"9,568",,,1,0,1
26-Feb-20,0,0,,2/27/2020,2/13/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,1,0,1
26-Feb-20,0,0,,2/27/2020,2/13/2020,confirmed plus probable cases,Wisconsin,"9,568",1,,1,0,1
26-Feb-20,0,0,0,2/27/2020,2/13/2020,confirmed plus probable cases,Wisconsin,"9,568",,,1,0,1
27-Feb-20,0,0,,2/28/2020,2/14/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,1,0,1
27-Feb-20,0,0,,2/28/2020,2/14/2020,confirmed plus probable cases,Wisconsin,"9,568",1,,1,0,1
27-Feb-20,0,0,0,2/28/2020,2/14/2020,confirmed plus probable cases,Wisconsin,"9,568",,,1,0,1
28-Feb-20,1,1,,2/29/2020,2/15/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,4,0,4
28-Feb-20,1,1,,2/29/2020,2/15/2020,confirmed plus probable cases,Wisconsin,"9,568",4,,4,0,4
28-Feb-20,1,1,1,2/29/2020,2/15/2020,confirmed plus probable cases,Wisconsin,"9,568",,,4,0,4
29-Feb-20,1,1,,3/1/2020,2/16/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,2,0,2
29-Feb-20,1,1,,3/1/2020,2/16/2020,confirmed plus probable cases,Wisconsin,"9,568",2,,2,0,2
29-Feb-20,1,1,1,3/1/2020,2/16/2020,confirmed plus probable cases,Wisconsin,"9,568",,,2,0,2
1-Mar-20,2,2,,3/2/2020,2/17/2020,confirmed plus probable cases,Wisconsin,"9,568",,1,6,1,7
1-Mar-20,2,2,,3/2/2020,2/17/2020,confirmed plus probable cases,Wisconsin,"9,568",6,,6,1,7
1-Mar-20,2,2,2,3/2/2020,2/17/2020,confirmed plus probable cases,Wisconsin,"9,568",,,6,1,7
2-Mar-20,3,3,,3/3/2020,2/18/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,9,0,9
2-Mar-20,3,3,,3/3/2020,2/18/2020,confirmed plus probable cases,Wisconsin,"9,568",9,,9,0,9
2-Mar-20,3,3,3,3/3/2020,2/18/2020,confirmed plus probable cases,Wisconsin,"9,568",,,9,0,9
3-Mar-20,4,4,,3/4/2020,2/19/2020,confirmed plus probable cases,Wisconsin,"9,568",,1,5,1,6
3-Mar-20,4,4,,3/4/2020,2/19/2020,confirmed plus probable cases,Wisconsin,"9,568",5,,5,1,6
3-Mar-20,4,4,4,3/4/2020,2/19/2020,confirmed plus probable cases,Wisconsin,"9,568",,,5,1,6
4-Mar-20,6,6,,3/5/2020,2/20/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,13,0,13
4-Mar-20,6,6,,3/5/2020,2/20/2020,confirmed plus probable cases,Wisconsin,"9,568",13,,13,0,13
4-Mar-20,6,6,6,3/5/2020,2/20/2020,confirmed plus probable cases,Wisconsin,"9,568",,,13,0,13
5-Mar-20,6,6,,3/6/2020,2/21/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,5,0,5
5-Mar-20,6,6,,3/6/2020,2/21/2020,confirmed plus probable cases,Wisconsin,"9,568",5,,5,0,5
5-Mar-20,6,6,6,3/6/2020,2/21/2020,confirmed plus probable cases,Wisconsin,"9,568",,,5,0,5
6-Mar-20,8,8,,3/7/2020,2/22/2020,confirmed plus probable cases,Wisconsin,"9,568",,2,14,2,16
6-Mar-20,8,8,,3/7/2020,2/22/2020,confirmed plus probable cases,Wisconsin,"9,568",14,,14,2,16
6-Mar-20,8,8,8,3/7/2020,2/22/2020,confirmed plus probable cases,Wisconsin,"9,568",,,14,2,16
7-Mar-20,8,8,,3/8/2020,2/23/2020,confirmed plus probable cases,Wisconsin,"9,568",,0,6,0,6
7-Mar-20,8,8,,3/8/2020,2/23/2020,confirmed plus probable cases,Wisconsin,"9,568",6,,6,0,6
7-Mar-20,8,8,8,3/8/2020,2/23/2020,confirmed plus probable cases,Wisconsin,"9,568",,,6,0,6
8-Mar-20,10,10,,3/9/2020,2/24/2020,confirmed plus probable cases,Wisconsin,"9,568",,2,18,2,20
8-Mar-20,10,10,,3/9/2020,2/24/2020,confirmed plus probable cases,Wisconsin,"9,568",18,,18,2,20
8-Mar-20,10,10,10,3/9/2020,2/24/2020,confirmed plus probable cases,Wisconsin,"9,568",,,18,2,20
9-Mar-20,13,13,,3/10/2020,2/25/2020,confirmed plus probable cases,Wisconsin,"9,568",,5,22,5,27
9-Mar-20,13,13,,3/10/2020,2/25/2020,confirmed plus probable cases,Wisconsin,"9,568",22,,22,5,27
9-Mar-20,13,13,13,3/10/2020,2/25/2020,confirmed plus probable cases,Wisconsin,"9,568",,,22,5,27
10-Mar-20,17,17,,3/11/2020,2/26/2020,confirmed plus probable cases,Wisconsin,"9,568",,1,34,1,35
10-Mar-20,17,17,,3/11/2020,2/26/2020,confirmed plus probable cases,Wisconsin,"9,568",34,,34,1,35
10-Mar-20,17,17,17,3/11/2020,2/26/2020,confirmed plus probable cases,Wisconsin,"9,568",,,34,1,35
11-Mar-20,22,22,,3/12/2020,2/27/2020,confirmed plus probable cases,Wisconsin,"9,568",,5,46,5,51
11-Mar-20,22,22,,3/12/2020,2/27/2020,confirmed plus probable cases,Wisconsin,"9,568",46,,46,5,51
11-Mar-20,22,22,22,3/12/2020,2/27/2020,confirmed plus probable cases,Wisconsin,"9,568",,,46,5,51
12-Mar-20,31,31,,3/13/2020,2/28/2020,confirmed plus probable cases,Wisconsin,"9,568",,6,61,6,67
12-Mar-20,31,31,,3/13/2020,2/28/2020,confirmed plus probable cases,Wisconsin,"9,568",61,,61,6,67
12-Mar-20,31,31,31,3/13/2020,2/28/2020,confirmed plus probable cases,Wisconsin,"9,568",,,61,6,67
13-Mar-20,40,40,,3/14/2020,2/29/2020,confirmed plus probable cases,Wisconsin,"9,568",,2,75,2,77
13-Mar-20,40,40,,3/14/2020,2/29/2020,confirmed plus probable cases,Wisconsin,"9,568",75,,75,2,77
13-Mar-20,40,40,40,3/14/2020,2/29/2020,confirmed plus probable cases,Wisconsin,"9,568",,,75,2,77
14-Mar-20,53,53,,3/15/2020,3/1/2020,confirmed plus probable cases,Wisconsin,"9,568",,8,92,8,100
14-Mar-20,53,53,,3/15/2020,3/1/2020,confirmed plus probable cases,Wisconsin,"9,568",92,,92,8,100
14-Mar-20,53,53,53,3/15/2020,3/1/2020,confirmed plus probable cases,Wisconsin,"9,568",,,92,8,100
15-Mar-20,68,68,,3/16/2020,3/2/2020,confirmed plus probable cases,Wisconsin,"9,568",,10,112,10,122
15-Mar-20,68,68,,3/16/2020,3/2/2020,confirmed plus probable cases,Wisconsin,"9,568",112,,112,10,122
15-Mar-20,68,68,68,3/16/2020,3/2/2020,confirmed plus probable cases,Wisconsin,"9,568",,,112,10,122
16-Mar-20,87,87,,3/17/2020,3/3/2020,confirmed plus probable cases,Wisconsin,"9,568",,13,150,13,163
16-Mar-20,87,87,,3/17/2020,3/3/2020,confirmed plus probable cases,Wisconsin,"9,568",150,,150,13,163
16-Mar-20,87,87,87,3/17/2020,3/3/2020,confirmed plus probable cases,Wisconsin,"9,568",,,150,13,163
17-Mar-20,112,112,,3/18/2020,3/4/2020,confirmed plus probable cases,Wisconsin,"9,568",,25,179,25,204
17-Mar-20,112,112,,3/18/2020,3/4/2020,confirmed plus probable cases,Wisconsin,"9,568",179,,179,25,204
17-Mar-20,112,112,112,3/18/2020,3/4/2020,confirmed plus probable cases,Wisconsin,"9,568",,,179,25,204
18-Mar-20,129,129,,3/19/2020,3/5/2020,confirmed plus probable cases,Wisconsin,"9,568",,25,149,25,174
18-Mar-20,129,129,,3/19/2020,3/5/2020,confirmed plus probable cases,Wisconsin,"9,568",149,,149,25,174
18-Mar-20,129,129,129,3/19/2020,3/5/2020,confirmed plus probable cases,Wisconsin,"9,568",,,149,25,174
19-Mar-20,143,143,,3/20/2020,3/6/2020,confirmed plus probable cases,Wisconsin,"9,568",,32,131,32,163
19-Mar-20,143,143,,3/20/2020,3/6/2020,confirmed plus probable cases,Wisconsin,"9,568",131,,131,32,163
19-Mar-20,143,143,143,3/20/2020,3/6/2020,confirmed plus probable cases,Wisconsin,"9,568",,,131,32,163
20-Mar-20,155,155,,3/21/2020,3/7/2020,confirmed plus probable cases,Wisconsin,"9,568",,20,143,20,163
20-Mar-20,155,155,,3/21/2020,3/7/2020,confirmed plus probable cases,Wisconsin,"9,568",143,,143,20,163
20-Mar-20,155,155,155,3/21/2020,3/7/2020,confirmed plus probable cases,Wisconsin,"9,568",,,143,20,163
21-Mar-20,162,162,,3/22/2020,3/8/2020,confirmed plus probable cases,Wisconsin,"9,568",,23,123,23,146
21-Mar-20,162,162,,3/22/2020,3/8/2020,confirmed plus probable cases,Wisconsin,"9,568",123,,123,23,146
21-Mar-20,162,162,162,3/22/2020,3/8/2020,confirmed plus probable cases,Wisconsin,"9,568",,,123,23,146
22-Mar-20,163,163,,3/23/2020,3/9/2020,confirmed plus probable cases,Wisconsin,"9,568",,22,111,22,133
22-Mar-20,163,163,,3/23/2020,3/9/2020,confirmed plus probable cases,Wisconsin,"9,568",111,,111,22,133
22-Mar-20,163,163,163,3/23/2020,3/9/2020,confirmed plus probable cases,Wisconsin,"9,568",,,111,22,133
23-Mar-20,169,169,,3/24/2020,3/10/2020,confirmed plus probable cases,Wisconsin,"9,568",,31,171,31,202
23-Mar-20,169,169,,3/24/2020,3/10/2020,confirmed plus probable cases,Wisconsin,"9,568",171,,171,31,202
23-Mar-20,169,169,169,3/24/2020,3/10/2020,confirmed plus probable cases,Wisconsin,"9,568",,,171,31,202
24-Mar-20,161,161,,3/25/2020,3/11/2020,confirmed plus probable cases,Wisconsin,"9,568",,23,129,23,152
24-Mar-20,161,161,,3/25/2020,3/11/2020,confirmed plus probable cases,Wisconsin,"9,568",129,,129,23,152
24-Mar-20,161,161,161,3/25/2020,3/11/2020,confirmed plus probable cases,Wisconsin,"9,568",,,129,23,152
25-Mar-20,168,168,,3/26/2020,3/12/2020,confirmed plus probable cases,Wisconsin,"9,568",,25,193,25,218
25-Mar-20,168,168,,3/26/2020,3/12/2020,confirmed plus probable cases,Wisconsin,"9,568",193,,193,25,218
25-Mar-20,168,168,168,3/26/2020,3/12/2020,confirmed plus probable cases,Wisconsin,"9,568",,,193,25,218
26-Mar-20,172,172,,3/27/2020,3/13/2020,confirmed plus probable cases,Wisconsin,"9,568",,28,163,28,191
26-Mar-20,172,172,,3/27/2020,3/13/2020,confirmed plus probable cases,Wisconsin,"9,568",163,,163,28,191
26-Mar-20,172,172,172,3/27/2020,3/13/2020,confirmed plus probable cases,Wisconsin,"9,568",,,163,28,191
27-Mar-20,175,175,,3/28/2020,3/14/2020,confirmed plus probable cases,Wisconsin,"9,568",,21,162,21,183
27-Mar-20,175,175,,3/28/2020,3/14/2020,confirmed plus probable cases,Wisconsin,"9,568",162,,162,21,183
27-Mar-20,175,175,175,3/28/2020,3/14/2020,confirmed plus probable cases,Wisconsin,"9,568",,,162,21,183
28-Mar-20,175,175,,3/29/2020,3/15/2020,confirmed plus probable cases,Wisconsin,"9,568",,24,123,24,147
28-Mar-20,175,175,,3/29/2020,3/15/2020,confirmed plus probable cases,Wisconsin,"9,568",123,,123,24,147
28-Mar-20,175,175,175,3/29/2020,3/15/2020,confirmed plus probable cases,Wisconsin,"9,568",,,123,24,147
29-Mar-20,176,176,,3/30/2020,3/16/2020,confirmed plus probable cases,Wisconsin,"9,568",,30,114,30,144
29-Mar-20,176,176,,3/30/2020,3/16/2020,confirmed plus probable cases,Wisconsin,"9,568",114,,114,30,144
29-Mar-20,176,176,176,3/30/2020,3/16/2020,confirmed plus probable cases,Wisconsin,"9,568",,,114,30,144
30-Mar-20,174,174,,3/31/2020,3/17/2020,confirmed plus probable cases,Wisconsin,"9,568",,27,159,27,186
30-Mar-20,174,174,,3/31/2020,3/17/2020,confirmed plus probable cases,Wisconsin,"9,568",159,,159,27,186
30-Mar-20,174,174,174,3/31/2020,3/17/2020,confirmed plus probable cases,Wisconsin,"9,568",,,159,27,186
31-Mar-20,175,175,,4/1/2020,3/18/2020,confirmed plus probable cases,Wisconsin,"9,568",,28,133,28,161
31-Mar-20,175,175,,4/1/2020,3/18/2020,confirmed plus probable cases,Wisconsin,"9,568",133,,133,28,161
31-Mar-20,175,175,175,4/1/2020,3/18/2020,confirmed plus probable cases,Wisconsin,"9,568",,,133,28,161
1-Apr-20,174,174,,4/2/2020,3/19/2020,confirmed plus probable cases,Wisconsin,"9,568",,45,162,45,207
1-Apr-20,174,174,,4/2/2020,3/19/2020,confirmed plus probable cases,Wisconsin,"9,568",162,,162,45,207
1-Apr-20,174,174,174,4/2/2020,3/19/2020,confirmed plus probable cases,Wisconsin,"9,568",,,162,45,207
2-Apr-20,172,172,,4/3/2020,3/20/2020,confirmed plus probable cases,Wisconsin,"9,568",,34,147,34,181
2-Apr-20,172,172,,4/3/2020,3/20/2020,confirmed plus probable cases,Wisconsin,"9,568",147,,147,34,181
2-Apr-20,172,172,172,4/3/2020,3/20/2020,confirmed plus probable cases,Wisconsin,"9,568",,,147,34,181
3-Apr-20,180,180,,4/4/2020,3/21/2020,confirmed plus probable cases,Wisconsin,"9,568",,39,197,39,236
3-Apr-20,180,180,,4/4/2020,3/21/2020,confirmed plus probable cases,Wisconsin,"9,568",197,,197,39,236
3-Apr-20,180,180,180,4/4/2020,3/21/2020,confirmed plus probable cases,Wisconsin,"9,568",,,197,39,236
4-Apr-20,181,181,,4/5/2020,3/22/2020,confirmed plus probable cases,Wisconsin,"9,568",,25,131,25,156
4-Apr-20,181,181,,4/5/2020,3/22/2020,confirmed plus probable cases,Wisconsin,"9,568",131,,131,25,156
4-Apr-20,181,181,181,4/5/2020,3/22/2020,confirmed plus probable cases,Wisconsin,"9,568",,,131,25,156
5-Apr-20,179,179,,4/6/2020,3/23/2020,confirmed plus probable cases,Wisconsin,"9,568",,26,102,26,128
5-Apr-20,179,179,,4/6/2020,3/23/2020,confirmed plus probable cases,Wisconsin,"9,568",102,,102,26,128
5-Apr-20,179,179,179,4/6/2020,3/23/2020,confirmed plus probable cases,Wisconsin,"9,568",,,102,26,128
6-Apr-20,186,186,,4/7/2020,3/24/2020,confirmed plus probable cases,Wisconsin,"9,568",,39,200,39,239
6-Apr-20,186,186,,4/7/2020,3/24/2020,confirmed plus probable cases,Wisconsin,"9,568",200,,200,39,239
6-Apr-20,186,186,186,4/7/2020,3/24/2020,confirmed plus probable cases,Wisconsin,"9,568",,,200,39,239
7-Apr-20,186,186,,4/8/2020,3/25/2020,confirmed plus probable cases,Wisconsin,"9,568",,26,133,26,159
7-Apr-20,186,186,,4/8/2020,3/25/2020,confirmed plus probable cases,Wisconsin,"9,568",133,,133,26,159
7-Apr-20,186,186,186,4/8/2020,3/25/2020,confirmed plus probable cases,Wisconsin,"9,568",,,133,26,159
