Day of Result Date,Day of MaxDate,Day of Min 14 days,Measure Names,Measure Values,NotPositive.y,Positive.y,Testing Perc Pos moving avg (copy),Testing Perc Pos moving avg,Total.Y
10-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1566,9139,1566,12.79531675,12.79531675,10705
9-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1787,10075,1787,12.13800501,12.13800501,11862
8-Sep-20,9-Oct-20,24-Sep-20,People tested positive,673,4836,673,11.27095561,11.27095561,5509
7-Sep-20,9-Oct-20,24-Sep-20,People tested positive,681,5597,681,10.86152314,10.86152314,6278
6-Sep-20,9-Oct-20,24-Sep-20,People tested positive,775,6036,775,10.41659476,10.41659476,6811
5-Sep-20,9-Oct-20,24-Sep-20,People tested positive,892,6507,892,10.04336752,10.04336752,7399
4-Sep-20,9-Oct-20,24-Sep-20,People tested positive,970,7862,970,9.569657686,9.569657686,8832
3-Sep-20,9-Oct-20,24-Sep-20,People tested positive,1012,8237,1012,9.226009421,9.226009421,9249
2-Sep-20,9-Oct-20,24-Sep-20,People tested positive,873,7183,873,8.971904049,8.971904049,8056
1-Sep-20,9-Oct-20,24-Sep-20,People tested positive,904,8697,904,8.698682533,8.698682533,9601
31-Aug-20,9-Oct-20,24-Sep-20,People tested positive,610,7388,610,8.487659546,8.487659546,7998
30-Aug-20,9-Oct-20,24-Sep-20,People tested positive,575,6398,575,8.525506639,8.525506639,6973
29-Aug-20,9-Oct-20,24-Sep-20,People tested positive,622,6832,622,8.331477325,8.331477325,7454
28-Aug-20,9-Oct-20,24-Sep-20,People tested positive,712,7490,712,8.154798222,8.154798222,8202
27-Aug-20,9-Oct-20,24-Sep-20,People tested positive,858,8304,858,8.155144973,8.155144973,9162
26-Aug-20,9-Oct-20,24-Sep-20,People tested positive,836,8599,836,7.974215728,7.974215728,9435
25-Aug-20,9-Oct-20,24-Sep-20,People tested positive,801,9049,801,7.865801153,7.865801153,9850
24-Aug-20,9-Oct-20,24-Sep-20,People tested positive,476,5688,476,7.649758933,7.649758933,6164
23-Aug-20,9-Oct-20,24-Sep-20,People tested positive,558,7544,558,7.60005279,7.60005279,8102
22-Aug-20,9-Oct-20,24-Sep-20,People tested positive,437,6013,437,7.713785911,7.713785911,6450
21-Aug-20,9-Oct-20,24-Sep-20,People tested positive,748,7893,748,7.703434041,7.703434041,8641
20-Aug-20,9-Oct-20,24-Sep-20,People tested positive,783,8750,783,7.620017229,7.620017229,9533
19-Aug-20,9-Oct-20,24-Sep-20,People tested positive,947,10701,947,7.830919502,7.830919502,11648
18-Aug-20,9-Oct-20,24-Sep-20,People tested positive,684,9342,684,7.879194003,7.879194003,10026
17-Aug-20,9-Oct-20,24-Sep-20,People tested positive,450,5768,450,8.023173882,8.023173882,6218
16-Aug-20,9-Oct-20,24-Sep-20,People tested positive,537,6399,537,7.962330091,7.962330091,6936
15-Aug-20,9-Oct-20,24-Sep-20,People tested positive,591,7938,591,7.860554254,7.860554254,8529
14-Aug-20,9-Oct-20,24-Sep-20,People tested positive,873,10082,873,7.984314908,7.984314908,10955
13-Aug-20,9-Oct-20,24-Sep-20,People tested positive,1033,9973,1033,7.9824152,7.9824152,11006
12-Aug-20,9-Oct-20,24-Sep-20,People tested positive,888,9611,888,7.865930018,7.865930018,10499
11-Aug-20,9-Oct-20,24-Sep-20,People tested positive,752,8970,752,7.645290438,7.645290438,9722
10-Aug-20,9-Oct-20,24-Sep-20,People tested positive,475,6545,475,7.556765078,7.556765078,7020
9-Aug-20,9-Oct-20,24-Sep-20,People tested positive,556,7459,556,7.608724923,7.608724923,8015
8-Aug-20,9-Oct-20,24-Sep-20,People tested positive,717,8371,717,7.533715081,7.533715081,9088
7-Aug-20,9-Oct-20,24-Sep-20,People tested positive,881,10190,881,7.543461227,7.543461227,11071
6-Aug-20,9-Oct-20,24-Sep-20,People tested positive,1070,11390,1070,7.533065737,7.533065737,12460
5-Aug-20,9-Oct-20,24-Sep-20,People tested positive,915,11896,915,7.561536631,7.561536631,12811
4-Aug-20,9-Oct-20,24-Sep-20,People tested positive,884,11407,884,7.670487512,7.670487512,12291
3-Aug-20,9-Oct-20,24-Sep-20,People tested positive,628,7906,628,7.579130524,7.579130524,8534
2-Aug-20,9-Oct-20,24-Sep-20,People tested positive,536,7953,536,7.463567323,7.463567323,8489
1-Aug-20,9-Oct-20,24-Sep-20,People tested positive,766,8875,766,7.423837253,7.423837253,9641
31-Jul-20,9-Oct-20,24-Sep-20,People tested positive,925,10834,925,7.390626343,7.390626343,11759
30-Jul-20,9-Oct-20,24-Sep-20,People tested positive,1066,11055,1066,7.278050191,7.278050191,12121
29-Jul-20,9-Oct-20,24-Sep-20,People tested positive,1144,13578,1144,7.030781707,7.030781707,14722
28-Jul-20,9-Oct-20,24-Sep-20,People tested positive,859,12037,859,6.886588584,6.886588584,12896
27-Jul-20,9-Oct-20,24-Sep-20,People tested positive,522,7802,522,6.935245434,6.935245434,8324
26-Jul-20,9-Oct-20,24-Sep-20,People tested positive,659,9904,659,6.907465197,6.907465197,10563
25-Jul-20,9-Oct-20,24-Sep-20,People tested positive,844,10212,844,6.910261057,6.910261057,11056
24-Jul-20,9-Oct-20,24-Sep-20,People tested positive,947,12374,947,6.824559912,6.824559912,13321
23-Jul-20,9-Oct-20,24-Sep-20,People tested positive,1007,13194,1007,6.868898187,6.868898187,14201
22-Jul-20,9-Oct-20,24-Sep-20,People tested positive,930,12466,930,6.778549056,6.778549056,13396
21-Jul-20,9-Oct-20,24-Sep-20,People tested positive,1049,13999,1049,6.7254521,6.7254521,15048
20-Jul-20,9-Oct-20,24-Sep-20,People tested positive,806,11975,806,6.623842407,6.623842407,12781
19-Jul-20,9-Oct-20,24-Sep-20,People tested positive,709,10541,709,6.539371227,6.539371227,11250
18-Jul-20,9-Oct-20,24-Sep-20,People tested positive,972,13103,972,6.524588731,6.524588731,14075
17-Jul-20,9-Oct-20,24-Sep-20,People tested positive,1028,12865,1028,6.411556854,6.411556854,13893
16-Jul-20,9-Oct-20,24-Sep-20,People tested positive,912,13149,912,6.510419634,6.510419634,14061
15-Jul-20,9-Oct-20,24-Sep-20,People tested positive,824,11742,824,6.522143871,6.522143871,12566
14-Jul-20,9-Oct-20,24-Sep-20,People tested positive,936,13843,936,6.476042018,6.476042018,14779
13-Jul-20,9-Oct-20,24-Sep-20,People tested positive,674,11295,674,6.405008428,6.405008428,11969
12-Jul-20,9-Oct-20,24-Sep-20,People tested positive,627,9576,627,6.514194978,6.514194978,10203
11-Jul-20,9-Oct-20,24-Sep-20,People tested positive,751,11491,751,6.523574099,6.523574099,12242
10-Jul-20,9-Oct-20,24-Sep-20,People tested positive,990,10957,990,6.498710907,6.498710907,11947
9-Jul-20,9-Oct-20,24-Sep-20,People tested positive,803,11429,803,6.138630505,6.138630505,12232
8-Jul-20,9-Oct-20,24-Sep-20,People tested positive,786,11805,786,6.152457113,6.152457113,12591
7-Jul-20,9-Oct-20,24-Sep-20,People tested positive,689,11187,689,5.978124121,5.978124121,11876
6-Jul-20,9-Oct-20,24-Sep-20,People tested positive,441,6559,441,5.894826124,5.894826124,7000
5-Jul-20,9-Oct-20,24-Sep-20,People tested positive,409,6340,409,5.829972866,5.829972866,6749
4-Jul-20,9-Oct-20,24-Sep-20,People tested positive,520,8453,520,5.695268413,5.695268413,8973
3-Jul-20,9-Oct-20,24-Sep-20,People tested positive,734,11229,734,5.614648669,5.614648669,11963
2-Jul-20,9-Oct-20,24-Sep-20,People tested positive,714,9911,714,5.509201905,5.509201905,10625
1-Jul-20,9-Oct-20,24-Sep-20,People tested positive,532,9845,532,5.303984517,5.303984517,10377
30-Jun-20,9-Oct-20,24-Sep-20,People tested positive,542,9795,542,5.201542766,5.201542766,10337
29-Jun-20,9-Oct-20,24-Sep-20,People tested positive,438,7245,438,5.077424987,5.077424987,7683
28-Jun-20,9-Oct-20,24-Sep-20,People tested positive,456,8696,456,4.933562607,4.933562607,9152
27-Jun-20,9-Oct-20,24-Sep-20,People tested positive,469,8588,469,4.820455954,4.820455954,9057
26-Jun-20,9-Oct-20,24-Sep-20,People tested positive,540,9226,540,4.697773242,4.697773242,9766
25-Jun-20,9-Oct-20,24-Sep-20,People tested positive,476,8254,476,4.456918139,4.456918139,8730
24-Jun-20,9-Oct-20,24-Sep-20,People tested positive,518,10872,518,4.128646223,4.128646223,11390
23-Jun-20,9-Oct-20,24-Sep-20,People tested positive,418,9093,418,3.914724062,3.914724062,9511
22-Jun-20,9-Oct-20,24-Sep-20,People tested positive,279,6085,279,3.763357329,3.763357329,6364
21-Jun-20,9-Oct-20,24-Sep-20,People tested positive,256,6248,256,3.652681019,3.652681019,6504
20-Jun-20,9-Oct-20,24-Sep-20,People tested positive,321,7187,321,3.613221818,3.613221818,7508
19-Jun-20,9-Oct-20,24-Sep-20,People tested positive,384,9112,384,3.518576552,3.518576552,9496
18-Jun-20,9-Oct-20,24-Sep-20,People tested positive,308,9084,308,3.271571709,3.271571709,9392
17-Jun-20,9-Oct-20,24-Sep-20,People tested positive,333,9619,333,3.248953903,3.248953903,9952
16-Jun-20,9-Oct-20,24-Sep-20,People tested positive,299,8412,299,3.236633496,3.236633496,8711
15-Jun-20,9-Oct-20,24-Sep-20,People tested positive,191,5519,191,3.208948994,3.208948994,5710
14-Jun-20,9-Oct-20,24-Sep-20,People tested positive,242,6500,242,3.214616096,3.214616096,6742
13-Jun-20,9-Oct-20,24-Sep-20,People tested positive,264,7171,264,3.16631872,3.16631872,7435
12-Jun-20,9-Oct-20,24-Sep-20,People tested positive,247,9398,247,3.149268743,3.149268743,9645
11-Jun-20,9-Oct-20,24-Sep-20,People tested positive,303,9336,303,3.285224727,3.285224727,9639
10-Jun-20,9-Oct-20,24-Sep-20,People tested positive,373,11035,373,3.310112977,3.310112977,11408
9-Jun-20,9-Oct-20,24-Sep-20,People tested positive,302,9014,302,3.308349255,3.308349255,9316
8-Jun-20,9-Oct-20,24-Sep-20,People tested positive,215,6136,215,3.295967057,3.295967057,6351
7-Jun-20,9-Oct-20,24-Sep-20,People tested positive,207,6353,207,3.232345114,3.232345114,6560
6-Jun-20,9-Oct-20,24-Sep-20,People tested positive,263,7467,263,3.093620791,3.093620791,7730
5-Jun-20,9-Oct-20,24-Sep-20,People tested positive,331,9361,331,3.008768411,3.008768411,9692
4-Jun-20,9-Oct-20,24-Sep-20,People tested positive,357,10457,357,3.284526546,3.284526546,10814
3-Jun-20,9-Oct-20,24-Sep-20,People tested positive,351,10425,351,3.537654746,3.537654746,10776
2-Jun-20,9-Oct-20,24-Sep-20,People tested positive,293,8980,293,3.70338435,3.70338435,9273
1-Jun-20,9-Oct-20,24-Sep-20,People tested positive,287,9496,287,3.812788874,3.812788874,9783
31-May-20,9-Oct-20,24-Sep-20,People tested positive,213,9439,213,4.022680471,4.022680471,9652
30-May-20,9-Oct-20,24-Sep-20,People tested positive,268,9538,268,4.189967565,4.189967565,9806
29-May-20,9-Oct-20,24-Sep-20,People tested positive,546,9832,546,4.36133599,4.36133599,10378
28-May-20,9-Oct-20,24-Sep-20,People tested positive,511,9613,511,4.299194606,4.299194606,10124
27-May-20,9-Oct-20,24-Sep-20,People tested positive,459,10110,459,4.39005054,4.39005054,10569
26-May-20,9-Oct-20,24-Sep-20,People tested positive,463,11272,463,4.403746098,4.403746098,11735
25-May-20,9-Oct-20,24-Sep-20,People tested positive,392,8242,392,4.567201897,4.567201897,8634
24-May-20,9-Oct-20,24-Sep-20,People tested positive,358,9924,358,4.443248589,4.443248589,10282
23-May-20,9-Oct-20,24-Sep-20,People tested positive,401,9644,401,4.589744789,4.589744789,10045
22-May-20,9-Oct-20,24-Sep-20,People tested positive,464,9044,464,4.718469579,4.718469579,9508
21-May-20,9-Oct-20,24-Sep-20,People tested positive,564,9300,564,4.782861413,4.782861413,9864
20-May-20,9-Oct-20,24-Sep-20,People tested positive,532,11475,532,4.71462739,4.71462739,12007
19-May-20,9-Oct-20,24-Sep-20,People tested positive,506,9591,506,4.872359483,4.872359483,10097
18-May-20,9-Oct-20,24-Sep-20,People tested positive,230,6723,230,4.903585722,4.903585722,6953
17-May-20,9-Oct-20,24-Sep-20,People tested positive,247,5422,247,5.142440677,5.142440677,5669
16-May-20,9-Oct-20,24-Sep-20,People tested positive,328,6420,328,5.183048591,5.183048591,6748
15-May-20,9-Oct-20,24-Sep-20,People tested positive,473,8404,473,5.283829679,5.283829679,8877
14-May-20,9-Oct-20,24-Sep-20,People tested positive,424,7342,424,5.360462451,5.360462451,7766
13-May-20,9-Oct-20,24-Sep-20,People tested positive,403,7075,403,5.576309547,5.576309547,7478
12-May-20,9-Oct-20,24-Sep-20,People tested positive,321,5662,321,5.696040868,5.696040868,5983
11-May-20,9-Oct-20,24-Sep-20,People tested positive,203,3927,203,5.979393723,5.979393723,4130
10-May-20,9-Oct-20,24-Sep-20,People tested positive,184,3904,184,6.258981807,6.258981807,4088
9-May-20,9-Oct-20,24-Sep-20,People tested positive,279,4682,279,6.677125824,6.677125824,4961
8-May-20,9-Oct-20,24-Sep-20,People tested positive,291,4572,291,7.087151492,7.087151492,4863
7-May-20,9-Oct-20,24-Sep-20,People tested positive,364,4806,364,7.724114557,7.724114557,5170
6-May-20,9-Oct-20,24-Sep-20,People tested positive,365,5675,365,8.114824953,8.114824953,6040
5-May-20,9-Oct-20,24-Sep-20,People tested positive,322,4008,322,9.02734375,9.02734375,4330
4-May-20,9-Oct-20,24-Sep-20,People tested positive,242,3011,242,9.22510734,9.22510734,3253
3-May-20,9-Oct-20,24-Sep-20,People tested positive,265,2988,265,9.275532944,9.275532944,3253
2-May-20,9-Oct-20,24-Sep-20,People tested positive,332,3533,332,9.310253232,9.310253232,3865
1-May-20,9-Oct-20,24-Sep-20,People tested positive,389,3205,389,9.332643072,9.332643072,3594
30-Apr-20,9-Oct-20,24-Sep-20,People tested positive,338,3091,338,9.17508003,9.17508003,3429
29-Apr-20,9-Oct-20,24-Sep-20,People tested positive,423,3453,423,9.212096063,9.212096063,3876
28-Apr-20,9-Oct-20,24-Sep-20,People tested positive,267,2918,267,8.892103945,8.892103945,3185
27-Apr-20,9-Oct-20,24-Sep-20,People tested positive,192,2389,192,9.072863148,9.072863148,2581
26-Apr-20,9-Oct-20,24-Sep-20,People tested positive,162,1896,162,9.4377756,9.4377756,2058
25-Apr-20,9-Oct-20,24-Sep-20,People tested positive,212,2313,212,9.560874359,9.560874359,2525
24-Apr-20,9-Oct-20,24-Sep-20,People tested positive,269,2382,269,9.693947261,9.693947261,2651
23-Apr-20,9-Oct-20,24-Sep-20,People tested positive,251,2152,251,9.679976935,9.679976935,2403
22-Apr-20,9-Oct-20,24-Sep-20,People tested positive,245,2323,245,9.35796487,9.35796487,2568
21-Apr-20,9-Oct-20,24-Sep-20,People tested positive,223,2119,223,9.332569933,9.332569933,2342
20-Apr-20,9-Oct-20,24-Sep-20,People tested positive,179,1602,179,9.291764911,9.291764911,1781
19-Apr-20,9-Oct-20,24-Sep-20,People tested positive,95,1052,95,9.29117891,9.29117891,1147
18-Apr-20,9-Oct-20,24-Sep-20,People tested positive,157,1589,157,9.502431725,9.502431725,1746
17-Apr-20,9-Oct-20,24-Sep-20,People tested positive,193,1694,193,9.54316686,9.54316686,1887
16-Apr-20,9-Oct-20,24-Sep-20,People tested positive,144,1593,144,9.156746032,9.156746032,1737
15-Apr-20,9-Oct-20,24-Sep-20,People tested positive,150,1436,150,9.334383616,9.334383616,1586
14-Apr-20,9-Oct-20,24-Sep-20,People tested positive,146,1421,146,9.488553337,9.488553337,1567
13-Apr-20,9-Oct-20,24-Sep-20,People tested positive,123,1056,123,9.697087003,9.697087003,1179
12-Apr-20,9-Oct-20,24-Sep-20,People tested positive,103,887,103,9.487154816,9.487154816,990
11-Apr-20,9-Oct-20,24-Sep-20,People tested positive,127,1259,127,9.469350412,9.469350412,1386
10-Apr-20,9-Oct-20,24-Sep-20,People tested positive,130,1505,130,9.573057544,9.573057544,1635
9-Apr-20,9-Oct-20,24-Sep-20,People tested positive,169,1644,169,9.782608696,9.782608696,1813
8-Apr-20,9-Oct-20,24-Sep-20,People tested positive,176,1519,176,9.759243336,9.759243336,1695
7-Apr-20,9-Oct-20,24-Sep-20,People tested positive,174,1461,174,9.719203686,9.719203686,1635
6-Apr-20,9-Oct-20,24-Sep-20,People tested positive,107,1132,107,9.739204788,9.739204788,1239
5-Apr-20,9-Oct-20,24-Sep-20,People tested positive,152,1375,152,9.949697331,9.949697331,1527
4-Apr-20,9-Oct-20,24-Sep-20,People tested positive,175,1594,175,9.774897083,9.774897083,1769
3-Apr-20,9-Oct-20,24-Sep-20,People tested positive,190,1816,190,9.700948213,9.700948213,2006
2-Apr-20,9-Oct-20,24-Sep-20,People tested positive,161,1598,161,9.528766086,9.528766086,1759
1-Apr-20,9-Oct-20,24-Sep-20,People tested positive,159,1409,159,9.490874159,9.490874159,1568
31-Mar-20,9-Oct-20,24-Sep-20,People tested positive,195,1632,195,9.499903456,9.499903456,1827
30-Mar-20,9-Oct-20,24-Sep-20,People tested positive,135,1138,135,9.09458367,9.09458367,1273
29-Mar-20,9-Oct-20,24-Sep-20,People tested positive,101,1114,101,8.874834234,8.874834234,1215
28-Mar-20,9-Oct-20,24-Sep-20,People tested positive,123,1197,123,8.67881072,8.67881072,1320
27-Mar-20,9-Oct-20,24-Sep-20,People tested positive,133,1473,133,8.255912162,8.255912162,1606
26-Mar-20,9-Oct-20,24-Sep-20,People tested positive,142,1459,142,7.671759803,7.671759803,1601
25-Mar-20,9-Oct-20,24-Sep-20,People tested positive,155,1361,155,7.010332185,7.010332185,1516
24-Mar-20,9-Oct-20,24-Sep-20,People tested positive,111,1254,111,6.405735778,6.405735778,1365
23-Mar-20,9-Oct-20,24-Sep-20,People tested positive,105,1075,105,5.97373074,5.97373074,1180
22-Mar-20,9-Oct-20,24-Sep-20,People tested positive,60,904,60,5.433248659,5.433248659,964
21-Mar-20,9-Oct-20,24-Sep-20,People tested positive,76,1164,76,5.224225613,5.224225613,1240
20-Mar-20,9-Oct-20,24-Sep-20,People tested positive,69,1424,69,4.996379435,4.996379435,1493
19-Mar-20,9-Oct-20,24-Sep-20,People tested positive,55,1188,55,5.196054847,5.196054847,1243
18-Mar-20,9-Oct-20,24-Sep-20,People tested positive,69,954,69,5.531344284,5.531344284,1023
17-Mar-20,9-Oct-20,24-Sep-20,People tested positive,39,736,39,4.935194417,4.935194417,775
16-Mar-20,9-Oct-20,24-Sep-20,People tested positive,17,331,17,4.883907126,4.883907126,348
15-Mar-20,9-Oct-20,24-Sep-20,People tested positive,14,353,14,4.835164835,4.835164835,367
14-Mar-20,9-Oct-20,24-Sep-20,People tested positive,13,262,13,5.524861878,5.524861878,275
13-Mar-20,9-Oct-20,24-Sep-20,People tested positive,9,117,9,6.343283582,6.343283582,126
12-Mar-20,9-Oct-20,24-Sep-20,People tested positive,4,65,4,5.369127517,5.369127517,69
11-Mar-20,9-Oct-20,24-Sep-20,People tested positive,3,43,3,4.395604396,4.395604396,46
10-Mar-20,9-Oct-20,24-Sep-20,People tested positive,1,17,1,2,2,18
9-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,9,0,0,0,9
8-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,0,0,0,0,0
7-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,0,0,0,0,0
6-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,7,0,0,0,7
5-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,11,0,0,0,11
4-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,5,0,0,0,5
3-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,0,0,0,0,0
2-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,3,0,0,0,3
1-Mar-20,9-Oct-20,24-Sep-20,People tested positive,0,0,0,0,0,0
8-Oct-20,9-Oct-20,24-Sep-20,People tested negative,12415,12415,2980,17.38323796,17.38323796,15395
7-Oct-20,9-Oct-20,24-Sep-20,People tested negative,12867,12867,3025,17.12130788,17.12130788,15892
6-Oct-20,9-Oct-20,24-Sep-20,People tested negative,11692,11692,2312,16.85271542,16.85271542,14004
5-Oct-20,9-Oct-20,24-Sep-20,People tested negative,9627,9627,1867,16.99108337,16.99108337,11494
4-Oct-20,9-Oct-20,24-Sep-20,People tested negative,10088,10088,1991,17.2112854,17.2112854,12079
3-Oct-20,9-Oct-20,24-Sep-20,People tested negative,11211,11211,2133,17.07906488,17.07906488,13344
2-Oct-20,9-Oct-20,24-Sep-20,People tested negative,11365,11365,2370,17.56080821,17.56080821,13735
1-Oct-20,9-Oct-20,24-Sep-20,People tested negative,13147,13147,2828,17.50263209,17.50263209,15975
30-Sep-20,9-Oct-20,24-Sep-20,People tested negative,13463,13463,2834,17.40163526,17.40163526,16297
29-Sep-20,9-Oct-20,24-Sep-20,People tested negative,9950,9950,2117,17.3254179,17.3254179,12067
28-Sep-20,9-Oct-20,24-Sep-20,People tested negative,9417,9417,2076,17.06521174,17.06521174,11493
27-Sep-20,9-Oct-20,24-Sep-20,People tested negative,10367,10367,1897,16.58644985,16.58644985,12264
26-Sep-20,9-Oct-20,24-Sep-20,People tested negative,11567,11567,2765,16.58796782,16.58796782,14332
25-Sep-20,9-Oct-20,24-Sep-20,People tested negative,12797,12797,2606,15.97280264,15.97280264,15403
24-Sep-20,9-Oct-20,24-Sep-20,People tested negative,12044,12044,2476,15.91329361,15.91329361,14520
23-Sep-20,9-Oct-20,24-Sep-20,People tested negative,13238,13238,2698,15.66732254,15.66732254,15936
22-Sep-20,9-Oct-20,24-Sep-20,People tested negative,10374,10374,1903,15.44035804,15.44035804,12277
21-Sep-20,9-Oct-20,24-Sep-20,People tested negative,8815,8815,1404,15.15243938,15.15243938,10219
20-Sep-20,9-Oct-20,24-Sep-20,People tested negative,7477,7477,1324,15.19523306,15.19523306,8801
19-Sep-20,9-Oct-20,24-Sep-20,People tested negative,9651,9651,1731,15.14373966,15.14373966,11382
18-Sep-20,9-Oct-20,24-Sep-20,People tested negative,12066,12066,2405,14.77505744,14.77505744,14471
17-Sep-20,9-Oct-20,24-Sep-20,People tested negative,11670,11670,2151,14.33127707,14.33127707,13821
16-Sep-20,9-Oct-20,24-Sep-20,People tested negative,12878,12878,2399,14.14182883,14.14182883,15277
15-Sep-20,9-Oct-20,24-Sep-20,People tested negative,9773,9773,1503,13.95655981,13.95655981,11276
14-Sep-20,9-Oct-20,24-Sep-20,People tested negative,7788,7788,1263,13.91723534,13.91723534,9051
13-Sep-20,9-Oct-20,24-Sep-20,People tested negative,5953,5953,1001,13.59642664,13.59642664,6954
12-Sep-20,9-Oct-20,24-Sep-20,People tested negative,8865,8865,1239,13.25767515,13.25767515,10104
11-Sep-20,9-Oct-20,24-Sep-20,People tested negative,8344,8344,1363,13.27761665,13.27761665,9707
10-Sep-20,9-Oct-20,24-Sep-20,People tested negative,9139,9139,1566,12.79531675,12.79531675,10705
9-Sep-20,9-Oct-20,24-Sep-20,People tested negative,10075,10075,1787,12.13800501,12.13800501,11862
8-Sep-20,9-Oct-20,24-Sep-20,People tested negative,4836,4836,673,11.27095561,11.27095561,5509
7-Sep-20,9-Oct-20,24-Sep-20,People tested negative,5597,5597,681,10.86152314,10.86152314,6278
6-Sep-20,9-Oct-20,24-Sep-20,People tested negative,6036,6036,775,10.41659476,10.41659476,6811
5-Sep-20,9-Oct-20,24-Sep-20,People tested negative,6507,6507,892,10.04336752,10.04336752,7399
4-Sep-20,9-Oct-20,24-Sep-20,People tested negative,7862,7862,970,9.569657686,9.569657686,8832
3-Sep-20,9-Oct-20,24-Sep-20,People tested negative,8237,8237,1012,9.226009421,9.226009421,9249
2-Sep-20,9-Oct-20,24-Sep-20,People tested negative,7183,7183,873,8.971904049,8.971904049,8056
1-Sep-20,9-Oct-20,24-Sep-20,People tested negative,8697,8697,904,8.698682533,8.698682533,9601
31-Aug-20,9-Oct-20,24-Sep-20,People tested negative,7388,7388,610,8.487659546,8.487659546,7998
30-Aug-20,9-Oct-20,24-Sep-20,People tested negative,6398,6398,575,8.525506639,8.525506639,6973
29-Aug-20,9-Oct-20,24-Sep-20,People tested negative,6832,6832,622,8.331477325,8.331477325,7454
28-Aug-20,9-Oct-20,24-Sep-20,People tested negative,7490,7490,712,8.154798222,8.154798222,8202
27-Aug-20,9-Oct-20,24-Sep-20,People tested negative,8304,8304,858,8.155144973,8.155144973,9162
26-Aug-20,9-Oct-20,24-Sep-20,People tested negative,8599,8599,836,7.974215728,7.974215728,9435
